code,term,id,type,bnf_code
228711000001100,Doxazosin 1mg tablets (A A H Pharmaceuticals Ltd),228711000001100,amp,0205040D0AAAAAA
252111000001100,Doxazosin 1mg tablets (Kent Pharmaceuticals Ltd),252111000001100,amp,0205040D0AAAAAA
462611000001100,Doxazosin 1mg tablets (Sandoz Ltd),462611000001100,amp,0205040D0AAAAAA
565111000001107,Doxazosin 1mg tablets (Mylan),565111000001107,amp,0205040D0AAAAAA
647711000001101,Doxazosin 1mg tablets (Teva UK Ltd),647711000001101,amp,0205040D0AAAAAA
854611000001108,Doxazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd),854611000001108,amp,0205040D0AAAAAA
870611000001103,Doxazosin 1mg tablets (Alliance Healthcare (Distribution) Ltd),870611000001103,amp,0205040D0AAAAAA
4250111000001105,Doxazosin 1mg tablets (Actavis UK Ltd),4250111000001105,amp,0205040D0AAAAAA
4469911000001108,Doxazosin 1mg tablets (Sterwin Medicines),4469911000001108,amp,0205040D0AAAAAA
9792611000001102,Doxazosin 1mg tablets (Almus Pharmaceuticals Ltd),9792611000001102,amp,0205040D0AAAAAA
10402811000001109,Doxazosin 1mg tablets (Arrow Generics Ltd),10402811000001109,amp,0205040D0AAAAAA
11554511000001109,Doxazosin 1mg tablets (Dexcel-Pharma Ltd),11554511000001109,amp,0205040D0AAAAAA
15082811000001106,Doxazosin 1mg tablets (Sigma Pharmaceuticals Plc),15082811000001106,amp,0205040D0AAAAAA
16049611000001105,Doxazosin 1mg tablets (Bristol Laboratories Ltd),16049611000001105,amp,0205040D0AAAAAA
17198011000001109,Doxazosin 1mg tablets (Sovereign Medical Ltd),17198011000001109,amp,0205040D0AAAAAA
17894011000001105,Doxazosin 1mg tablets (Phoenix Healthcare Distribution Ltd),17894011000001105,amp,0205040D0AAAAAA
18071811000001103,Doxazosin 1mg tablets (Fannin UK Ltd),18071811000001103,amp,0205040D0AAAAAA
23591811000001109,Doxazosin 1mg tablets (Waymade Healthcare Plc),23591811000001109,amp,0205040D0AAAAAA
23970411000001101,Doxazosin 1mg tablets (DE Pharmaceuticals),23970411000001101,amp,0205040D0AAAAAA
30122411000001102,Doxazosin 1mg tablets (Mawdsley-Brooks & Company Ltd),30122411000001102,amp,0205040D0AAAAAA
35141811000001104,Doxazosin 1mg tablets (Aurobindo Pharma Ltd),35141811000001104,amp,0205040D0AAAAAA
35981611000001106,Doxazosin 1mg tablets (Ennogen Pharma Ltd),35981611000001106,amp,0205040D0AAAAAA
225411000001101,Doxazosin 2mg tablets (Kent Pharmaceuticals Ltd),225411000001101,amp,0205040D0AAABAB
430311000001102,Doxazosin 2mg tablets (Alliance Healthcare (Distribution) Ltd),430311000001102,amp,0205040D0AAABAB
464711000001104,Doxazosin 2mg tablets (Sandoz Ltd),464711000001104,amp,0205040D0AAABAB
481211000001106,Doxazosin 2mg tablets (Teva UK Ltd),481211000001106,amp,0205040D0AAABAB
554711000001100,Doxazosin 2mg tablets (A A H Pharmaceuticals Ltd),554711000001100,amp,0205040D0AAABAB
559911000001102,Doxazosin 2mg tablets (Sterwin Medicines),559911000001102,amp,0205040D0AAABAB
664711000001102,Doxazosin 2mg tablets (Ranbaxy (UK) Ltd),664711000001102,amp,0205040D0AAABAB
674011000001107,Doxazosin 2mg tablets (Mylan),674011000001107,amp,0205040D0AAABAB
840911000001105,Doxazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd),840911000001105,amp,0205040D0AAABAB
4250311000001107,Doxazosin 2mg tablets (Actavis UK Ltd),4250311000001107,amp,0205040D0AAABAB
9792911000001108,Doxazosin 2mg tablets (Almus Pharmaceuticals Ltd),9792911000001108,amp,0205040D0AAABAB
10403011000001107,Doxazosin 2mg tablets (Arrow Generics Ltd),10403011000001107,amp,0205040D0AAABAB
11554711000001104,Doxazosin 2mg tablets (Dexcel-Pharma Ltd),11554711000001104,amp,0205040D0AAABAB
14116711000001102,Doxazosin 2mg tablets (Consilient Health Ltd),14116711000001102,amp,0205040D0AAABAB
15083011000001109,Doxazosin 2mg tablets (Sigma Pharmaceuticals Plc),15083011000001109,amp,0205040D0AAABAB
16049911000001104,Doxazosin 2mg tablets (Bristol Laboratories Ltd),16049911000001104,amp,0205040D0AAABAB
17198311000001107,Doxazosin 2mg tablets (Sovereign Medical Ltd),17198311000001107,amp,0205040D0AAABAB
17894211000001100,Doxazosin 2mg tablets (Phoenix Healthcare Distribution Ltd),17894211000001100,amp,0205040D0AAABAB
18072011000001101,Doxazosin 2mg tablets (Fannin UK Ltd),18072011000001101,amp,0205040D0AAABAB
19730311000001100,Doxazosin 2mg tablets (Medreich Plc),19730311000001100,amp,0205040D0AAABAB
23592011000001106,Doxazosin 2mg tablets (Waymade Healthcare Plc),23592011000001106,amp,0205040D0AAABAB
23970611000001103,Doxazosin 2mg tablets (DE Pharmaceuticals),23970611000001103,amp,0205040D0AAABAB
30122611000001104,Doxazosin 2mg tablets (Mawdsley-Brooks & Company Ltd),30122611000001104,amp,0205040D0AAABAB
35142011000001102,Doxazosin 2mg tablets (Aurobindo Pharma Ltd),35142011000001102,amp,0205040D0AAABAB
35994611000001109,Doxazosin 2mg tablets (Ennogen Pharma Ltd),35994611000001109,amp,0205040D0AAABAB
210011000001108,Doxazosin 4mg tablets (Kent Pharmaceuticals Ltd),210011000001108,amp,0205040D0AAACAC
221311000001106,Doxazosin 4mg tablets (Mylan),221311000001106,amp,0205040D0AAACAC
525011000001104,Doxazosin 4mg tablets (IVAX Pharmaceuticals UK Ltd),525011000001104,amp,0205040D0AAACAC
578111000001109,Doxazosin 4mg tablets (Alliance Healthcare (Distribution) Ltd),578111000001109,amp,0205040D0AAACAC
588211000001106,Doxazosin 4mg tablets (A A H Pharmaceuticals Ltd),588211000001106,amp,0205040D0AAACAC
653011000001107,Doxazosin 4mg tablets (Teva UK Ltd),653011000001107,amp,0205040D0AAACAC
709511000001100,Doxazosin 4mg tablets (Sterwin Medicines),709511000001100,amp,0205040D0AAACAC
761311000001108,Doxazosin 4mg tablets (Sandoz Ltd),761311000001108,amp,0205040D0AAACAC
857111000001105,Doxazosin 4mg tablets (Ranbaxy (UK) Ltd),857111000001105,amp,0205040D0AAACAC
4250511000001101,Doxazosin 4mg tablets (Actavis UK Ltd),4250511000001101,amp,0205040D0AAACAC
9793211000001105,Doxazosin 4mg tablets (Almus Pharmaceuticals Ltd),9793211000001105,amp,0205040D0AAACAC
10403311000001105,Doxazosin 4mg tablets (Arrow Generics Ltd),10403311000001105,amp,0205040D0AAACAC
11554911000001102,Doxazosin 4mg tablets (Dexcel-Pharma Ltd),11554911000001102,amp,0205040D0AAACAC
14117111000001100,Doxazosin 4mg tablets (Consilient Health Ltd),14117111000001100,amp,0205040D0AAACAC
15083211000001104,Doxazosin 4mg tablets (Sigma Pharmaceuticals Plc),15083211000001104,amp,0205040D0AAACAC
16050211000001103,Doxazosin 4mg tablets (Bristol Laboratories Ltd),16050211000001103,amp,0205040D0AAACAC
17198511000001101,Doxazosin 4mg tablets (Sovereign Medical Ltd),17198511000001101,amp,0205040D0AAACAC
17894411000001101,Doxazosin 4mg tablets (Phoenix Healthcare Distribution Ltd),17894411000001101,amp,0205040D0AAACAC
18072211000001106,Doxazosin 4mg tablets (Fannin UK Ltd),18072211000001106,amp,0205040D0AAACAC
19730511000001106,Doxazosin 4mg tablets (Medreich Plc),19730511000001106,amp,0205040D0AAACAC
23592211000001101,Doxazosin 4mg tablets (Waymade Healthcare Plc),23592211000001101,amp,0205040D0AAACAC
23970811000001104,Doxazosin 4mg tablets (DE Pharmaceuticals),23970811000001104,amp,0205040D0AAACAC
30123811000001108,Doxazosin 4mg tablets (Mawdsley-Brooks & Company Ltd),30123811000001108,amp,0205040D0AAACAC
35142211000001107,Doxazosin 4mg tablets (Aurobindo Pharma Ltd),35142211000001107,amp,0205040D0AAACAC
35994411000001106,Doxazosin 4mg tablets (Ennogen Pharma Ltd),35994411000001106,amp,0205040D0AAACAC
13975011000001100,Doxazosin 4mg capsules (Special Order),13975011000001100,amp,0205040D0AAAFAF
12071011000001100,Doxazosin 8mg/5ml oral suspension (Special Order),12071011000001100,amp,0205040D0AAAHAH
12071311000001102,Doxazosin 8mg/5ml oral solution (Special Order),12071311000001102,amp,0205040D0AAAHAH
12064811000001104,Doxazosin 2mg/5ml oral suspension (Special Order),12064811000001104,amp,0205040D0AAAIAI
12065111000001105,Doxazosin 2mg/5ml oral solution (Special Order),12065111000001105,amp,0205040D0AAAIAI
12066611000001107,Doxazosin 5mg/5ml oral suspension (Special Order),12066611000001107,amp,0205040D0AAAKAK
12067011000001102,Doxazosin 5mg/5ml oral solution (Special Order),12067011000001102,amp,0205040D0AAAKAK
12065411000001100,Doxazosin 3mg/5ml oral suspension (Special Order),12065411000001100,amp,0205040D0AAAPAP
12065711000001106,Doxazosin 3mg/5ml oral solution (Special Order),12065711000001106,amp,0205040D0AAAPAP
12067611000001109,Doxazosin 6mg/5ml oral suspension (Special Order),12067611000001109,amp,0205040D0AAASAS
12068111000001100,Doxazosin 6mg/5ml oral solution (Special Order),12068111000001100,amp,0205040D0AAASAS
23391211000001106,Doxazosin 4mg/5ml oral solution (Drug Tariff Special Order),23391211000001106,amp,0205040D0AAAXAX
8457811000001101,Doxazosin 4mg/5ml oral suspension (Drug Tariff Special Order),8457811000001101,amp,0205040D0AAAYAY
24434511000001108,Doxazosin 1mg/5ml oral solution (Drug Tariff Special Order),24434511000001108,amp,0205040D0AAAZAZ
8459911000001104,Doxazosin 1mg/5ml oral suspension (Drug Tariff Special Order),8459911000001104,amp,0205040D0AABABA
35997611000001103,Doxazosin 8mg tablets (Ennogen Pharma Ltd),35997611000001103,amp,0205040D0AABBBB
37180711000001106,Doxazosin 8mg tablets (A A H Pharmaceuticals Ltd),37180711000001106,amp,0205040D0AABBBB
37489611000001109,Doxazosin 8mg tablets (Alliance Healthcare (Distribution) Ltd),37489611000001109,amp,0205040D0AABBBB
907711000001109,Cardura 1mg tablets (Upjohn UK Ltd),907711000001109,amp,0205040D0BBAAAA
41811000001109,Cardura 2mg tablets (Upjohn UK Ltd),41811000001109,amp,0205040D0BBABAB
123911000001106,Cardura XL 4mg tablets (Upjohn UK Ltd),123911000001106,amp,0205040D0BBADAQ
873411000001109,Cardura XL 8mg tablets (Upjohn UK Ltd),873411000001109,amp,0205040D0BBAEAR
4857511000001108,Doxadura 1mg tablets (Dexcel-Pharma Ltd),4857511000001108,amp,0205040D0BDAAAA
4857711000001103,Doxadura 2mg tablets (Dexcel-Pharma Ltd),4857711000001103,amp,0205040D0BDABAB
4858111000001103,Doxadura 4mg tablets (Dexcel-Pharma Ltd),4858111000001103,amp,0205040D0BDACAC
11269911000001101,Doxadura XL 4mg tablets (Dexcel-Pharma Ltd),11269911000001101,amp,0205040D0BDADAQ
11098311000001104,Slocinx XL 4mg tablets (Zentiva),11098311000001104,amp,0205040D0BEAAAQ
11757711000001107,Colixil XL 4mg tablets (Sandoz Ltd),11757711000001107,amp,0205040D0BFAAAQ
11752411000001104,Cardozin XL 4mg tablets (Arrow Generics Ltd),11752411000001104,amp,0205040D0BGAAAQ
18197411000001107,Cardozin XL 4mg tablets (Almus Pharmaceuticals Ltd),18197411000001107,amp,0205040D0BGABAQ
11812211000001105,Oxandosin XL 4mg tablets (Ratiopharm UK Ltd),11812211000001105,amp,0205040D0BHAAAQ
13811611000001108,Doxzogen XL 4mg tablets (Mylan),13811611000001108,amp,0205040D0BIAAAQ
17338211000001104,Larbex XL 4mg tablets (Teva UK Ltd),17338211000001104,amp,0205040D0BJAAAQ
18164911000001108,Raporsin XL 4mg tablets (Actavis UK Ltd),18164911000001108,amp,0205040D0BKAAAQ
22380811000001105,Raporsin XL 4mg tablets (Arrow Generics Ltd),22380811000001105,amp,0205040D0BKABAQ
18033611000001101,Indoramin 25mg tablets (A A H Pharmaceuticals Ltd),18033611000001101,amp,0205040I0AAAAAA
18126411000001101,Indoramin 25mg tablets (Phoenix Healthcare Distribution Ltd),18126411000001101,amp,0205040I0AAAAAA
18255411000001107,Indoramin 25mg tablets (Alliance Healthcare (Distribution) Ltd),18255411000001107,amp,0205040I0AAAAAA
19706111000001106,Indoramin 25mg tablets (Advanz Pharma),19706111000001106,amp,0205040I0AAAAAA
19535711000001107,Phenoxybenzamine 10mg capsules (Advanz Pharma),19535711000001107,amp,0205040M0AAACAC
20011311000001104,Phenoxybenzamine 10mg capsules (A A H Pharmaceuticals Ltd),20011311000001104,amp,0205040M0AAACAC
20360311000001106,Phenoxybenzamine 10mg capsules (Alliance Healthcare (Distribution) Ltd),20360311000001106,amp,0205040M0AAACAC
22451111000001108,Phenoxybenzamine 10mg capsules (DE Pharmaceuticals),22451111000001108,amp,0205040M0AAACAC
13020811000001108,Phenoxybenzamine 10mg/5ml oral suspension (Special Order),13020811000001108,amp,0205040M0AAANAN
13021111000001107,Phenoxybenzamine 10mg/5ml oral solution (Special Order),13021111000001107,amp,0205040M0AAANAN
89711000001108,Prazosin 500microgram tablets (A A H Pharmaceuticals Ltd),89711000001108,amp,0205040S0AAABAB
259311000001106,Prazosin 500microgram tablets (The Boots Company Plc),259311000001106,amp,0205040S0AAABAB
898711000001102,Prazosin 500microgram tablets (IVAX Pharmaceuticals UK Ltd),898711000001102,amp,0205040S0AAABAB
83811000001102,Prazosin 1mg tablets (The Boots Company Plc),83811000001102,amp,0205040S0AAACAC
559411000001105,Prazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd),559411000001105,amp,0205040S0AAACAC
778311000001107,Prazosin 1mg tablets (A A H Pharmaceuticals Ltd),778311000001107,amp,0205040S0AAACAC
171211000001100,Prazosin 2mg tablets (The Boots Company Plc),171211000001100,amp,0205040S0AAADAD
603711000001100,Prazosin 2mg tablets (A A H Pharmaceuticals Ltd),603711000001100,amp,0205040S0AAADAD
703511000001102,Prazosin 2mg tablets (IVAX Pharmaceuticals UK Ltd),703511000001102,amp,0205040S0AAADAD
24661311000001108,Prazosin 2mg tablets (Special Order),24661311000001108,amp,0205040S0AAADAD
342511000001100,Prazosin 5mg tablets (The Boots Company Plc),342511000001100,amp,0205040S0AAAEAE
739211000001106,Prazosin 5mg tablets (A A H Pharmaceuticals Ltd),739211000001106,amp,0205040S0AAAEAE
849411000001107,Prazosin 5mg tablets (IVAX Pharmaceuticals UK Ltd),849411000001107,amp,0205040S0AAAEAE
