code,term,id,type,bnf_code
7304611000001104,Amlodipine 5mg tablets (Alliance Healthcare (Distribution) Ltd),7304611000001104,amp,0206020A0AAAAAA
7305311000001108,Amlodipine 5mg tablets (A A H Pharmaceuticals Ltd),7305311000001108,amp,0206020A0AAAAAA
7305711000001107,Amlodipine 5mg tablets (IVAX Pharmaceuticals UK Ltd),7305711000001107,amp,0206020A0AAAAAA
7333311000001100,Amlodipine 5mg tablets (Teva UK Ltd),7333311000001100,amp,0206020A0AAAAAA
7376311000001107,Amlodipine 5mg tablets (Sandoz Ltd),7376311000001107,amp,0206020A0AAAAAA
7378711000001105,Amlodipine 5mg tablets (Kent Pharmaceuticals Ltd),7378711000001105,amp,0206020A0AAAAAA
7391211000001101,Amlodipine 5mg tablets (Mylan),7391211000001101,amp,0206020A0AAAAAA
7535711000001103,Amlodipine 5mg tablets (Sterwin Medicines),7535711000001103,amp,0206020A0AAAAAA
8038211000001107,Amlodipine 5mg tablets (Actavis UK Ltd),8038211000001107,amp,0206020A0AAAAAA
9557111000001102,Amlodipine 5mg tablets (Zentiva),9557111000001102,amp,0206020A0AAAAAA
10287111000001103,Amlodipine 5mg tablets (Advanz Pharma),10287111000001103,amp,0206020A0AAAAAA
10378211000001106,Amlodipine 5mg tablets (Arrow Generics Ltd),10378211000001106,amp,0206020A0AAAAAA
11008811000001105,Amlodipine 5mg tablets (Dr Reddy's Laboratories (UK) Ltd),11008811000001105,amp,0206020A0AAAAAA
11398511000001109,Amlodipine 5mg tablets (Almus Pharmaceuticals Ltd),11398511000001109,amp,0206020A0AAAAAA
13764411000001106,Amlodipine 5mg tablets (Apotex UK Ltd),13764411000001106,amp,0206020A0AAAAAA
14112311000001100,Amlodipine 5mg tablets (Consilient Health Ltd),14112311000001100,amp,0206020A0AAAAAA
14768911000001108,Amlodipine 5mg tablets (Wockhardt UK Ltd),14768911000001108,amp,0206020A0AAAAAA
15064611000001101,Amlodipine 5mg tablets (Sigma Pharmaceuticals Plc),15064611000001101,amp,0206020A0AAAAAA
